Freq;Angle;Gain
1000;0,0;-0,2352210102931389
1000;0,3490658503988659;-0,4436643965827836
1000;0,6981317007977318;0,0
1000;1,0471975511965976;-0,2654098087251558
1000;1,3962634015954636;-0,7694851786038241
1000;1,7453292519943295;-0,6060011884463404
1000;2,0943951023931953;-0,9074765493469017
1000;2,356194490192345;-0,9317870162019409
1000;2,6179938779914944;-0,9862383406379684
1000;3,141592653589793;-0,7942327581925361
1000;3,665191429188092;-0,9862383406379684
1000;3,9269908169872414;-0,9317870162019409
1000;4,188790204786391;-0,9074765493469017
1000;4,537856055185257;-0,6060011884463404
1000;4,886921905584122;-0,7694851786038241
1000;5,235987755982989;-0,2654098087251558
1000;5,585053606381854;0,0
1000;5,934119456780721;-0,4436643965827836
1000;6,283185307179586;-0,2352210102931389
