Freq;Angle;Gain
6000;0,0;-1,1477424511644243
6000;0,3490658503988659;-0,7706997557892652
6000;0,6981317007977318;0,0
6000;1,0471975511965976;-0,41105538114015155
6000;1,3962634015954636;-0,7628385106255248
6000;1,7453292519943295;-1,2381320970121632
6000;2,0943951023931953;-1,1174525988984019
6000;2,443460952792061;-1,8001959091800694
6000;2,792526803190927;-1,1076896439840551
6000;3,141592653589793;-2,43578219306241
6000;3,490658503988659;-1,1076896439840551
6000;3,839724354387525;-1,8001959091800694
6000;4,188790204786391;-1,1174525988984019
6000;4,537856055185257;-1,2381320970121632
6000;4,886921905584122;-0,7628385106255248
6000;5,235987755982989;-0,41105538114015155
6000;5,585053606381854;0,0
6000;5,934119456780721;-0,7706997557892652
6000;6,283185307179586;-1,1477424511644243
