Freq;Angle;Gain
500;0,0;-0,20980751432201158
500;0,3490658503988659;-0,035083513408530026
500;0,6981317007977318;0,0
500;1,0471975511965976;-0,6679755460615795
500;1,3962634015954636;-0,7111044708752791
500;1,7453292519943295;-0,2060691136670132
500;2,0943951023931953;-0,03236899955112991
500;2,443460952792061;-0,15787898044268098
500;2,792526803190927;-0,9670857868348913
500;3,141592653589793;-0,48567563822529924
500;3,490658503988659;-0,9670857868348913
500;3,839724354387525;-0,15787898044268098
500;4,188790204786391;-0,03236899955112991
500;4,537856055185257;-0,2060691136670132
500;4,886921905584122;-0,7111044708752791
500;5,235987755982989;-0,6679755460615795
500;5,585053606381854;0,0
500;5,934119456780721;-0,035083513408530026
500;6,283185307179586;-0,20980751432201158
