Freq;Angle;Gain
2500;0,0;-0,31243188628377516
2500;0,3490658503988659;-0,43426010912378515
2500;0,6981317007977318;0,0
2500;1,0471975511965976;-2,226683167410476
2500;1,3962634015954636;-3,9055566780016986
2500;1,7453292519943295;-3,5138227787495073
2500;2,0943951023931953;-7,9392388582249565
2500;2,443460952792061;-3,1386700823683977
2500;2,792526803190927;-2,043457478733996
2500;3,141592653589793;-4,34048078657855
2500;3,490658503988659;-2,043457478733996
2500;3,839724354387525;-3,1386700823683977
2500;4,188790204786391;-7,9392388582249565
2500;4,537856055185257;-3,5138227787495073
2500;4,886921905584122;-3,9055566780016986
2500;5,235987755982989;-2,226683167410476
2500;5,585053606381854;0,0
2500;5,934119456780721;-0,43426010912378515
2500;6,283185307179586;-0,31243188628377516
